AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
DL,JFK,SJU,-23.0
AA,ATL,DFW,-7.0
DL,EYW,ATL,10.0
EV,EWR,DCA,-4.0
EV,STL,IAH,-13.0
HA,LIH,OGG,-4.0
UA,LAX,IAH,23.0
AA,MCI,DFW,-1.0
B6,SRQ,JFK,-11.0
F9,ATL,TTN,-18.0
NK,BOS,ATL,-11.0
NK,MCO,LBE,66.0
DL,RDU,ATL,-4.0
DL,LAX,MCO,61.0
DL,ATL,LGA,19.0
DL,BOS,ATL,14.0
DL,ATL,JFK,-20.0
DL,FLL,ATL,-16.0
DL,LAS,SEA,-8.0
EV,IAH,OKC,60.0
EV,IAH,LRD,76.0
F9,MCO,CLE,44.0
F9,DEN,MKE,102.0
MQ,CMI,ORD,-11.0
MQ,DFW,SJT,1.0
NK,DTW,MSY,25.0
OO,LAX,PHX,-17.0
OO,SEA,PSC,49.0
OO,ORD,PAH,-4.0
UA,ORD,PIT,17.0
UA,HNL,GUM,-3.0
VX,LAX,SFO,20.0
VX,SFO,LAS,-4.0
WN,DAL,LBB,6.0
WN,DEN,MCO,8.0
WN,AUS,LAS,-15.0
WN,BWI,ATL,-3.0
WN,HOU,ELP,5.0
WN,HRL,HOU,8.0
WN,IND,DEN,17.0
WN,LAX,OAK,25.0
WN,OAK,AUS,6.0
WN,PHL,FLL,-7.0
WN,RSW,PIT,-9.0
WN,SAN,LAS,1.0
AA,MIA,BWI,-17.0
AA,DFW,ABQ,-7.0
AA,MSY,DFW,-21.0
AA,LAX,BOS,-26.0
AA,MCO,MIA,3.0
AA,DFW,SJU,18.0
AA,OMA,PHX,-12.0
AA,PHX,OGG,14.0
AA,MSP,PHX,-10.0
AA,GEG,PHX,-11.0
AA,CLT,MCO,-3.0
AA,MCO,PHL,-17.0
AA,RSW,CLT,251.0
B6,MCO,JFK,-7.0
B6,EWR,MCO,-4.0
OO,DCA,ORD,-18.0
EV,ATL,IAH,-25.0
B6,LGA,PBI,-18.0
EV,BTR,ATL,110.0
UA,SFO,PDX,9.0
AA,DFW,CLT,-8.0
B6,MCO,SJU,10.0
B6,MCO,BWI,-31.0
B6,TPA,DCA,-11.0
EV,FAR,ORD,-17.0
F9,SLC,DEN,-5.0
MQ,ORD,RIC,-14.0
UA,IAH,MCO,11.0
UA,PHX,IAH,-12.0
OO,CID,LAX,47.0
B6,JFK,SJU,4.0
B6,SJU,EWR,-7.0
DL,IND,ATL,-17.0
DL,STT,ATL,-9.0
DL,ATL,MSY,-15.0
EV,GSP,IAH,-15.0
EV,ATL,VLD,26.0
F9,DEN,DTW,-6.0
HA,HNL,OGG,0.0
MQ,DFW,DRO,7.0
MQ,IAH,DFW,-27.0
OO,PHX,SBA,11.0
OO,DEN,TUL,20.0
UA,IAH,SEA,-31.0
VX,ORD,SFO,-23.0
VX,DAL,SFO,-18.0
WN,CMH,PHX,19.0
WN,DAL,OMA,1.0
WN,BOI,DEN,0.0
WN,BWI,STL,15.0
WN,CAK,MCO,19.0
WN,SNA,OAK,3.0
WN,STL,RSW,65.0
WN,TPA,BNA,1.0
